[0253/5000] n=1, T=0.2527 -> Recall=80.18%, FAR=46.8650%, TP=453, FP=1465
[0254/5000] n=1, T=0.2537 -> Recall=80.00%, FAR=46.6411%, TP=452, FP=1458
[0255/5000] n=1, T=0.2547 -> Recall=80.00%, FAR=46.3532%, TP=452, FP=1449
[0256/5000] n=1, T=0.2557 -> Recall=79.82%, FAR=46.0972%, TP=451, FP=1441
[0257/5000] n=1, T=0.2567 -> Recall=79.82%, FAR=45.8093%, TP=451, FP=1432
[0258/5000] n=1, T=0.2577 -> Recall=79.82%, FAR=45.6174%, TP=451, FP=1426
[0259/5000] n=1, T=0.2587 -> Recall=79.82%, FAR=45.3935%, TP=451, FP=1419
[0260/5000] n=1, T=0.2597 -> Recall=79.82%, FAR=45.1056%, TP=451, FP=1410
[0261/5000] n=1, T=0.2607 -> Recall=79.82%, FAR=44.6257%, TP=451, FP=1395
[0262/5000] n=1, T=0.2617 -> Recall=79.65%, FAR=44.3378%, TP=450, FP=1386
[0263/5000] n=1, T=0.2627 -> Recall=79.47%, FAR=44.1779%, TP=449, FP=1381
[0264/5000] n=1, T=0.2637 -> Recall=79.47%, FAR=43.8900%, TP=449, FP=1372
[0265/5000] n=1, T=0.2647 -> Recall=79.29%, FAR=43.7300%, TP=448, FP=1367
[0266/5000] n=1, T=0.2657 -> Recall=79.12%, FAR=43.2502%, TP=447, FP=1352
[0267/5000] n=1, T=0.2667 -> Recall=79.12%, FAR=43.0262%, TP=447, FP=1345
[0268/5000] n=1, T=0.2677 -> Recall=78.94%, FAR=42.8663%, TP=446, FP=1340
[0269/5000] n=1, T=0.2687 -> Recall=78.94%, FAR=42.7063%, TP=446, FP=1335
[0270/5000] n=1, T=0.2697 -> Recall=78.94%, FAR=42.2905%, TP=446, FP=1322
[0271/5000] n=1, T=0.2707 -> Recall=78.94%, FAR=42.0026%, TP=446, FP=1313
[0272/5000] n=1, T=0.2717 -> Recall=78.58%, FAR=41.5867%, TP=444, FP=1300
[0273/5000] n=1, T=0.2727 -> Recall=78.58%, FAR=41.2988%, TP=444, FP=1291
[0274/5000] n=1, T=0.2737 -> Recall=78.58%, FAR=41.1388%, TP=444, FP=1286
[0275/5000] n=1, T=0.2747 -> Recall=78.23%, FAR=40.8509%, TP=442, FP=1277
[0276/5000] n=1, T=0.2757 -> Recall=78.23%, FAR=40.4351%, TP=442, FP=1264
[0277/5000] n=1, T=0.2767 -> Recall=78.05%, FAR=40.1472%, TP=441, FP=1255
[0278/5000] n=1, T=0.2777 -> Recall=78.05%, FAR=39.9552%, TP=441, FP=1249
[0279/5000] n=1, T=0.2787 -> Recall=77.88%, FAR=39.6033%, TP=440, FP=1238
